SPEC_ID,NAME,RA,DEC,Z,Z_HELIO,Quality
99784,g2105167-683748,316.3194583,-68.62986111,0.039985,0.039999,4
99785,g2116367-692115,319.153,-69.35413889,0.040089,0.040103,4
99786,g2058597-690854,314.7486667,-69.14841667,0.068797,0.068811,4
99787,g2052444-685155,313.1848333,-68.86538889,0.035757,0.03577,4
99788,g2051557-684413,312.981875,-68.73683333,0.076992,0.077007,3
99789,g2053079-683929,313.2829583,-68.65797222,0.075503,0.075517,4
99790,g2050135-682822,312.5562917,-68.47263889,0.044683,0.044697,4
99791,g2052572-682644,313.2381667,-68.44566667,0.032677,0.032691,4
99792,g2103532-683508,315.971625,-68.5855,0.041098,0.041112,4
99793,g2101442-682451,315.4340833,-68.41408333,0.040545,0.040558,4
99794,g2107367-690040,316.902875,-69.01108333,0.042608,0.042622,4
99795,g2045203-673222,311.3344167,-67.53933333,0.032277,0.032291,4
99796,g2107010-681232,316.75425,-68.20877778,0.045969,0.045983,3
99797,g2112366-682116,318.1522917,-68.35436111,0.03552,0.035534,4
99798,g2115229-681716,318.8453333,-68.28788889,0.010861,0.010874,4
99799,g2112585-691431,318.2435417,-69.24191667,0.040109,0.040123,4
99800,g2108390-671900,317.1625833,-67.31672222,0.04651,0.046524,4
99801,g2057540-662920,314.475,-66.48875,0.075335,0.07535,4
99802,g2120550-683337,320.2291667,-68.56036111,0.05639,0.056404,4
99803,g2103296-671053,315.8734167,-67.18133333,0.01029,0.010304,4
99804,g2117107-675708,319.2945833,-67.95225,0.075157,0.075171,4
99805,g2109105-670353,317.293875,-67.06461111,0.07505,0.075064,4
99806,g2106072-661142,316.529875,-66.19502778,0.076377,0.076391,4
99807,g2113166-671731,318.3192917,-67.29194444,0.046161,0.046175,4
99808,g2117279-663534,319.3660833,-66.59269444,0.056202,0.056216,4
99809,g2114476-665812,318.6984583,-66.96986111,0.315927,0.315944,4
99810,g2118270-662650,319.6125,-66.44711111,0.033939,0.033953,4
99811,g2119296-663021,319.8735,-66.50577778,0.055912,0.055926,4
99812,g2117402-672054,319.417375,-67.34836111,0.063231,0.063245,4
99813,g2114560-672924,318.7334167,-67.49002778,0.040578,0.040591,4
99814,g2120136-665310,320.0565417,-66.88619444,0.066989,0.067003,4
99815,g2121585-665319,320.493875,-66.88866667,0.179607,0.179622,4
99816,g2122026-670727,320.5109167,-67.12411111,0.153501,0.153516,4
99817,g2122152-671831,320.5632917,-67.30866667,0.062822,0.062836,4
99818,g2126579-664257,321.7410417,-66.71586111,0.07479,0.074804,4
99819,g2123337-672403,320.890375,-67.40094444,0.15262,0.152636,4
99820,g2120213-675717,320.0888333,-67.95477778,0.038801,0.038815,4
99821,g2122578-675248,320.7408333,-67.88008333,0.056611,0.056625,4
99822,g2119357-680815,319.8985417,-68.13747222,0.153419,0.153434,4
99823,g2127331-672252,321.8880417,-67.38108333,0.056293,0.056307,4
99824,g2128439-672232,322.1828333,-67.37563889,0.028403,0.028417,4
99825,g2134303-665653,323.62625,-66.948,0.057374,0.057388,4
99826,g2130561-672944,322.733875,-67.49541667,0.074029,0.074043,4
99827,g2120011-682033,320.0044583,-68.3425,0.06302,0.063035,4
99828,g2129292-674857,322.3718333,-67.81583333,0.074972,0.074986,4
99829,g2130426-675131,322.6774583,-67.8585,0.074492,0.074506,4
99830,g2133240-675650,323.3497917,-67.94716667,0.056903,0.056917,4
99831,g2142321-680233,325.6337917,-68.04244444,0.028474,0.028488,4
99832,g2142144-680915,325.5600833,-68.15408333,0.109413,0.109427,4
99833,g2125454-682757,321.4392083,-68.46583333,0.074537,0.074552,4
99834,g2131454-683607,322.9390417,-68.60205556,0.057152,0.057166,4
99835,g2129180-684427,322.325125,-68.74091667,0.041751,0.041765,4
99836,g2141180-684415,325.324875,-68.73744444,0.079399,0.079413,4
99837,g2143110-684718,325.795625,-68.78833333,0.079962,0.079977,4
99838,g2134498-685325,323.7074583,-68.89013889,0.078708,0.078722,4
99839,g2143353-690109,325.8970833,-69.01902778,0.042673,0.042687,4
99840,g2131432-685444,322.93,-68.91213889,0.041588,0.041602,4
99841,g2143241-691422,325.8502917,-69.23944444,0.030853,0.030866,4
99842,g2134051-691222,323.52125,-69.20619444,0.056001,0.056015,4
99843,g2120029-692416,320.01225,-69.40436111,0.033406,0.03342,4
99844,g2141176-693817,325.3234167,-69.63794444,0.055852,0.055866,4
99845,g2136456-695120,324.1900833,-69.85563889,0.08538,0.085395,4
99846,g2132153-691126,323.0635833,-69.19055556,0.067051,0.067065,4
99847,g2141212-700024,325.3382917,-70.00658333,0.049801,0.049815,4
99848,g2139183-700332,324.8260833,-70.05877778,0.050361,0.050375,4
99849,g2134328-695016,323.6364583,-69.83788889,0.070457,0.070471,4
99850,g2137498-702802,324.4576667,-70.46711111,0.05089,0.050904,4
99851,g2123342-695212,320.8922917,-69.86991667,0.145837,0.145853,4
99852,g2135000-703543,323.75,-70.59513889,0.05118,0.051194,4
99853,g2120457-694812,320.1902083,-69.80322222,0.048659,0.048673,4
